Metric,Comparison,ICC Difference (Mean),CI_Lower,CI_Upper,Significant
Hypervolume,NSGA-II vs NSGA-III,-0.034796483100573046,-0.23667735572268273,0.11613580989035077,False
Hypervolume,NSGA-II vs SPEA2,0.15110426085224082,-0.2811090630788203,0.4194786329015689,False
Hypervolume,NSGA-II vs ε-MOEA,0.3162651852239703,0.003085301189679375,0.5837817331280688,True
Hypervolume,NSGA-III vs SPEA2,0.1859007439528139,-0.2487992419781817,0.38767204908910574,False
Hypervolume,NSGA-III vs ε-MOEA,0.35106166832454333,0.03181431057108419,0.5650644270147782,True
Hypervolume,SPEA2 vs ε-MOEA,0.16516092437172944,-0.04875856115808037,0.3768657301801733,False
Spacing,NSGA-II vs NSGA-III,0.021468881364097577,-0.12317105131520588,0.2237091249692896,False
Spacing,NSGA-II vs SPEA2,0.024472210143982907,-0.18814230765595402,0.2636888590347673,False
Spacing,NSGA-II vs ε-MOEA,0.2801772501673205,0.05516226333534695,0.4370557626536119,True
Spacing,NSGA-III vs SPEA2,0.0030033287798853273,-0.3274026142533782,0.30237135521968006,False
Spacing,NSGA-III vs ε-MOEA,0.25870836880322284,0.03927181703643159,0.4508715563484557,True
Spacing,SPEA2 vs ε-MOEA,0.25570504002333755,0.03429838379092958,0.5190377803222236,True
Diversity,NSGA-II vs NSGA-III,-0.06111372243086621,-0.18855789362202785,0.08964331559984427,False
Diversity,NSGA-II vs SPEA2,0.03355905742187563,-0.21137293678843008,0.2133581217982222,False
Diversity,NSGA-II vs ε-MOEA,0.19062296338089096,-0.0725093082523159,0.4514144264452328,False
Diversity,NSGA-III vs SPEA2,0.09467277985274185,-0.08193469723582765,0.22179774436946217,False
Diversity,NSGA-III vs ε-MOEA,0.2517366858117572,0.008247125294482809,0.4744295687001571,True
Diversity,SPEA2 vs ε-MOEA,0.15706390595901534,-0.14279844087434262,0.40753986497618927,False
Convergence,NSGA-II vs NSGA-III,-0.03700682851441609,-0.15457779896882384,0.07539529738020574,False
Convergence,NSGA-II vs SPEA2,-0.1816837935461289,-0.2870065647805657,-0.09472358789883717,True
Convergence,NSGA-II vs ε-MOEA,-0.026006310624044744,-0.11406185522443331,0.05021921737977222,False
Convergence,NSGA-III vs SPEA2,-0.14467696503171282,-0.28075852587340994,-0.03240342650073035,True
Convergence,NSGA-III vs ε-MOEA,0.01100051789037135,-0.11075254789141582,0.18074695056167564,False
Convergence,SPEA2 vs ε-MOEA,0.1556774829220842,0.04023256320977465,0.29170887228776793,True
Execution Time,NSGA-II vs NSGA-III,-0.39413731853187983,-0.9897428021659419,-0.08926557346750291,True
Execution Time,NSGA-II vs SPEA2,0.014209410078123187,-0.16364657471532645,0.09281123599476862,False
Execution Time,NSGA-II vs ε-MOEA,-0.2526632465578919,-0.5002678869003752,0.008918099405318389,False
Execution Time,NSGA-III vs SPEA2,0.408346728610003,0.1496598290563211,0.9361777345404363,True
Execution Time,NSGA-III vs ε-MOEA,0.14147407197398792,-0.22596745760512882,0.9064833842964145,False
Execution Time,SPEA2 vs ε-MOEA,-0.2668726566360151,-0.47454277760664193,0.1177105817543161,False
